   0,   10
    1,   11
    2,   12
    3,   13
    4,   14
    5,   15
    6,   16
    7,   17
    8,   18
    9,   19
    10,   20
    11,   21
    12,   22
    13,   23
    14,   24
    15,   25
    16,   26
    17,   27
    18,   28
    19,   29
    20,   30
    21,   31
    22,   32
    23,   33
    24,   34
    25,   35
    26,   36
    27,   37
    28,   38
    29,   39
    30,   40
    31,   41
    32,   42
    33,   43
    34,   44
    35,   45
    36,   46
    37,   47
    38,   48
    39,   49
    40,   50
    41,   51
    42,   52
    43,   53
    44,   54
    45,   53
    45,   52
    45,   53
    45,   54
    45,   55
    45,   56
    45,   57
    45,   56
    45,   55
    46,   54
    47,   53
    47,   54
    47,   55
    47,   56
    47,   57
    48,   57
    48,   58
    48,   57
    48,   56
    48,   55
    48,   56
    48,   57
    47,   56
    46,   55
    45,   54
    44,   53
    43,   52
    42,   51
    42,   50
    41,   50
    40,   50
    39,   50
    38,   50
    38,   49
    37,   50
    36,   51
    35,   52
    34,   53
    34,   52
    33,   53
    34,   54
    35,   55
    36,   56
    37,   57
    38,   58
    39,   59
    38,   60
    39,   60
    40,   60
    41,   60
    42,   59
    43,   58
    44,   57
    43,   56
    42,   55
    41,   54
    40,   53
    40,   54
    40,   55
 
